cell,H,phi,rho,oracle_mse,explained,xvar_corr,MASE,MASE_sd,n_MASE,WQL,WQL_sd,n_WQL
H16_philow_rholow,16,low,low,0.25,0.0,0.0,0.36429148726283833,0.0027179275209045085,16,0.3214977868476866,0.0038586009002610625,16
H16_philow_rhomid,16,low,mid,0.25,0.0,0.0,0.36429148726283833,0.0027179275209045085,16,0.3214977868476866,0.0038586009002610625,16
H16_philow_rhohigh,16,low,high,0.25,0.0,0.0,0.36429148726283833,0.0027179275209045085,16,0.3214977868476866,0.0038586009002610625,16
H16_phimid_rholow,16,mid,low,0.125,0.5007309327701087,0.003865835436856432,0.2769085538979337,0.001997889006366551,16,0.2463637940511936,0.002895184608247501,16
H16_phimid_rhomid,16,mid,mid,0.125,0.5013435253401991,0.49519952191296596,0.28189073480977817,0.0020800181211164588,16,0.2516623211957525,0.0027857027102567203,16
H16_phimid_rhohigh,16,mid,high,0.125,0.5029518735524087,0.8999709066106227,0.28013343885720915,0.0021744522195619813,16,0.2490854758785439,0.0026880879034824616,16
H16_phihigh_rholow,16,high,low,0.024999999999999994,0.8999472681274309,0.0029660534487999817,0.14757661566428767,0.0011528028547034394,16,0.13355940716530137,0.0021167830004953396,16
H16_phihigh_rhomid,16,high,mid,0.024999999999999994,0.9000966728204239,0.4951562697493323,0.16487989091356442,0.0013556022767604598,16,0.14952855754613986,0.0016305207171860452,16
H16_phihigh_rhohigh,16,high,high,0.024999999999999994,0.8999883144087046,0.9000858717079812,0.1584223397930889,0.0021122095384829534,16,0.14337521119628807,0.003201574520506173,16
H128_philow_rholow,128,low,low,0.25,0.0,0.0,0.3659439011165406,0.002782163106893211,16,0.2790089425558084,0.001986968831546505,16
H128_philow_rhomid,128,low,mid,0.25,0.0,0.0,0.3659439011165406,0.002782163106893211,16,0.2790089425558084,0.001986968831546505,16
H128_philow_rhohigh,128,low,high,0.25,0.0,0.0,0.3659439011165406,0.002782163106893211,16,0.2790089425558084,0.001986968831546505,16
H128_phimid_rholow,128,mid,low,0.125,0.4990668968323464,0.002625037736056157,0.2875090774339223,0.002621939002530325,16,0.2175988227637743,0.001956693422690457,16
H128_phimid_rhomid,128,mid,mid,0.125,0.4996528676398417,0.4988828815401386,0.2903930880048172,0.002333695086500064,16,0.22020969686429256,0.0020009346486747157,16
